time (s),Velocity (Kmph)
0.2,3.1722
0.4,9.952
0.6,6.5621
0.8,14.8347
1,20.2461
1.2,26.1551
1.4,32.7172
1.6,38.875
1.8,45.7792
2,51.4394
2.2,58.3125
2.4,63.5373
2.6,66.9583
2.8,72.1831
3,78.7141
3.2,84.1877
3.4,87.8575
3.6,92.5536
3.8,98.4937
4,105.6156
4.2,111.8978
4.4,118.7087
4.6,124.9598
4.8,131.7707
5,138.5505
5.2,145.5169
5.4,152.4211
5.6,157.8947
5.8,165.2032
6,172.0141
6.2,184.3919
6.4,178.1097
6.6,189.2746
6.8,172.7916
7,165.2032
7.2,160.5071
7.4,154.2249
7.6,151.6125
7.8,147.4451
8,141.505
8.2,138.3017
8.4,142.9045
8.6,149.28
8.8,155.2823
9,161.5645
9.2,166.7893
9.4,173.5691
9.6,180.1312
9.8,186.1335
10,191.887
10.2,197.1118
10.4,202.5854
10.6,208.8676
10.8,214.8699
11,221.6808
11.2,228.4606
11.4,234.2141
11.6,239.9676
11.8,244.8503
12,250.9459
12.2,251.7234
12.4,255.9219
12.6,261.6754
12.8,266.6203
13,274.0843
13.2,279.8689
13.4,284.6583
13.6,267.6777
13.8,263.4792
14,257.7568
14.2,250.9459
14.4,240.4963
14.6,245.1924
14.8,235.2715
15,231.073
15.2,225.8482
15.4,221.6808
15.6,217.7622
15.8,212.2575
16,203.8916
16.2,199.7242
16.4,190.4875
16.6,195.5257
16.8,185.0761
17,182.246
17.2,182.4637
17.4,187.3464
17.6,191.7315
17.8,196.0544
18,201.9323
18.2,209.1164
18.4,215.3986
18.6,221.1521
18.8,228.7405
19,234.4007
19.2,241.2738
19.4,246.934
19.6,253.8071
19.8,258.4721
20,265.9672
20.2,271.503
20.4,276.2924
20.6,250.9459
20.8,245.1924
21,241.025
21.2,236.8265
21.4,231.073
21.6,226.9056
21.8,222.7071
22,212.9728
22.2,218.011
22.4,209.1164
22.6,204.016
22.8,198.1381
23,200.2529
23.2,194.4994
23.4,186.6622
23.6,182.4637
23.8,174.5332
24,173.7868
24.2,169.4017
24.4,165.2032
24.6,161.0358
24.8,156.8684
25,152.6699
25.2,148.5025
25.4,144.304
25.6,140.1366
25.8,135.9381
26,131.7707
26.2,126.0172
26.4,125.4885
26.6,126.7947
26.8,132.797
27,139.6079
27.2,145.9523
27.4,152.8565
27.6,159.9784
27.8,166.4472
28,173.3203
28.2,178.9805
28.4,185.8536
28.6,190.3009
28.8,193.9707
29,198.9467
29.2,205.4777
29.4,212.2575
29.6,218.5397
29.8,224.6975
30,232.006
30.2,237.5418
30.4,242.58
30.6,219.8459
30.8,212.2575
31,208.3389
31.2,202.8653
31.4,198.6668
31.6,194.7482
31.8,188.7459
32,179.8513
32.2,174.6265
32.4,170.4591
32.6,162.5908
32.8,158.4234
33,154.567
33.2,156.8684
33.4,162.0932
33.6,168.5309
33.8,174.0978
34,179.8513
34.2,186.6622
34.4,196.5831
34.6,192.7889
34.8,173.2581
35,169.4017
35.2,176.8968
35.4,182.1216
35.6,186.3823
35.8,173.5691
36,168.3443
36.2,163.3372
36.4,162.5908
36.6,163.6482
36.8,168.3443
37,173.5691
37.2,180.1312
37.4,186.289
37.6,193.442
37.8,199.7242
38,206.2552
38.2,212.4441
38.4,219.3172
38.6,225.3195
38.8,243.6374
39,238.4126
39.2,230.9175
39.4,247.2761
39.6,226.1281
39.8,230.5443
40,234.2141
40.2,237.8839
40.4,242.58
40.6,248.8622
40.8,255.1133
41,261.5821
41.2,266.8069
41.4,273.8044
41.6,279.5268
41.8,284.7516
42,288.8568
42.2,272.9025
42.4,268.704
42.6,264.5366
42.8,260.8668
43,254.8645
43.2,250.9459
43.4,246.7785
43.6,242.58
43.8,236.8265
44,232.6591
44.2,226.9056
44.4,222.7071
44.6,216.456
44.8,211.2312
45,207.0327
45.2,202.8653
45.4,199.1955
45.6,194.2817
45.8,193.9707
46,195.0281
46.2,201.0304
46.4,188.2172
46.6,184.0498
46.8,179.8513
47,175.6839
47.2,170.7079
47.4,142.5624
47.6,147.2585
47.8,155.811
48,151.6125
48.2,164.7056
48.4,159.9784
48.6,166.0118
48.8,172.2629
49,177.4877
49.2,180.7221
49.4,185.6048
49.6,191.887
49.8,198.6668
50,205.4777
50.2,211.2312
50.4,218.2598
50.6,223.9511
50.8,230.5443
51,236.4844
51.2,242.8288
51.4,249.0177
51.6,260.3692
51.8,254.6157
52,236.2978
52.2,226.9056
52.4,232.1304
52.6,223.7645
52.8,219.5971
53,215.3986
53.2,211.7288
53.4,204.949
53.6,200.7505
53.8,196.0544
54,191.887
54.2,187.6885
54.4,182.2149
54.6,178.5451
54.8,174.6265
55,168.7486
55.2,164.1769
55.4,159.8229
55.6,155.811
55.8,151.6125
56,147.4451
56.2,143.5265
56.4,139.0792
56.6,134.9118
56.8,129.5626
57,129.3449
57.2,134.9118
57.4,141.1629
57.6,148.2226
57.8,153.1986
58,156.8684
58.2,161.8133
58.4,167.4735
58.6,174.3777
58.8,178.7939
59,182.4637
59.2,187.1598
59.4,192.3846
59.6,196.0544
59.8,200.7505
60,207.3126
60.2,213.3149
60.4,220.3746
60.6,225.164
60.8,233.3122
61,238.7547
61.2,243.8862
61.4,218.5397
61.6,209.303
61.8,214.3412
62,206.0064
62.2,200.0663
62.4,197.1118
62.6,190.8296
62.8,186.6622
63,180.9087
63.2,175.3107
63.4,171.4854
63.6,166.0118
63.8,158.9521
64,148.5025
64.2,153.1986
64.4,143.2777
64.6,139.0792
64.8,134.9118
65,129.687
65.2,124.4311
65.4,124.4311
65.6,130.7133
65.8,137.5864
66,144.304
66.2,150.835
66.4,157.0239
66.6,164.1769
66.8,170.4591
67,177.4877
67.2,183.2412
67.4,190.3009
67.6,196.8319
67.8,202.9586
68,209.6451
68.2,213.9991
68.4,221.1521
68.6,196.5831
68.8,192.3846
69,184.0498
69.2,187.1598
69.4,188.4038
69.6,192.3846
69.8,196.3965
70,200.4395
70.2,201.2481
70.4,196.5831
70.6,192.3846
70.8,180.38
71,186.6622
71.2,182.4637
71.4,176.7102
71.6,172.5428
71.8,168.3443
72,164.1769
72.2,159.9784
72.4,155.811
72.6,151.1149
72.8,145.6102
73,143.7753
73.2,144.4284
73.4,147.4451
73.6,150.0575
73.8,155.2823
74,139.2658
74.2,135.6271
74.4,137.151
74.6,143.9619
74.8,151.6125
75,157.0239
75.2,163.6482
75.4,167.318
75.6,170.9567
75.8,175.404
76,180.6288
76.2,185.6048
76.4,189.2746
76.6,193.442
