Drive Cycle,
time(s),Velocity (Kmph)
0,289.83
0.1,289.46
0.2,289.71
0.3,290.46
0.4,290.46
0.5,291.2
0.6,291.45
0.7,291.95
0.8,292.45
0.9,292.7
1,293.44
1.1,293.44
1.2,294.19
1.3,293.11
1.4,287.8
1.5,283.98
1.6,279.5
1.7,275.52
1.8,271.7
1.9,266.56
2,260.91
2.1,255.77
2.2,252.12
2.3,248.13
2.4,244.4
2.5,239.67
2.6,234.69
2.7,230.21
2.8,226.23
2.9,221.75
3,217.76
3.1,214.03
3.2,209.46
3.3,204.32
3.4,200.58
3.5,195.85
3.6,190.87
3.7,187.39
3.8,183.9
3.9,179.92
4,175.44
4.1,170.29
4.2,165.48
4.3,163.49
4.4,160
4.5,155.19
4.6,150.88
4.7,146.73
4.8,142.91
4.9,136.85
5,131.37
5.1,126.15
5.2,120.67
5.3,114.57
5.4,109.22
5.5,108.55
5.6,114.1
5.7,119.34
5.8,124.98
5.9,121.66
6,130.79
6.1,138.1
6.2,133.61
6.3,141.71
6.4,145.23
6.5,152.41
6.6,147.56
6.7,158.01
6.8,162
6.9,166.31
7,169.96
7.1,173.95
7.2,178.92
7.3,184.9
7.4,181.41
7.5,189.71
7.6,194.48
7.7,199.84
7.8,203.82
7.9,208.3
8,212.95
8.1,217.26
8.2,221.25
8.3,225.4
8.4,229.05
8.5,232.7
8.6,236.18
8.7,240.04
8.8,243.53
8.9,247.14
9,250.38
9.1,253.61
9.2,256.27
9.3,259.59
9.4,261.33
9.5,262.7
9.6,263.2
9.7,265.56
9.8,267.55
9.9,269.67
10,272.03
10.1,274.03
10.2,275.77
10.3,277.51
10.4,279.5
10.5,281.25
10.6,282.24
10.7,283.24
10.8,283.98
10.9,284.98
11,285.98
11.1,286.97
11.2,287.47
11.3,288.47
11.4,289.46
11.5,290.21
11.6,290.95
11.7,291.45
11.8,292.45
11.9,292.95
12,293.44
12.1,294.19
12.2,294.44
12.3,295.44
12.4,295.44
12.5,296.43
12.6,296.31
12.7,294.19
12.8,289.46
12.9,282.74
13,277.51
13.1,273.53
13.2,269.54
13.3,265.06
13.4,259.59
13.5,254.61
13.6,250.62
13.7,245.4
13.8,239.67
13.9,235.94
14,231.04
14.1,226.23
14.2,222.24
14.3,218.76
14.4,215.27
14.5,211.29
14.6,206.81
14.7,201.16
14.8,196.35
14.9,192.04
15,186.89
15.1,181.91
15.2,178.18
15.3,172.7
15.4,166.64
15.5,163.49
15.6,159.01
15.7,156.15
15.8,158.14
15.9,161.87
16,166.48
16.1,171.12
16.2,175.44
16.3,180.42
16.4,185.73
16.5,189.13
16.6,193.7
16.7,198.47
16.8,203.82
16.9,207.97
17,213.16
17.1,218.14
17.2,222.74
17.3,226.89
17.4,231.33
17.5,235.69
17.6,239.92
17.7,243.16
17.8,246.14
17.9,249.13
18,251.62
18.1,254.36
18.2,256.1
18.3,258.47
18.4,260.58
18.5,262.7
18.6,265.06
18.7,267.18
18.8,269.3
18.9,270.54
19,272.28
19.1,274.03
19.2,275.02
19.3,276.76
19.4,278.01
19.5,279.25
19.6,280.5
19.7,281.49
19.8,280.25
19.9,276.35
20,272.03
20.1,268.05
20.2,263.9
20.3,260.58
20.4,256.1
20.5,253.11
20.6,249.13
20.7,244.98
20.8,240.67
20.9,236.52
21,232.87
21.1,229.21
21.2,225.6
21.3,223.86
21.4,223.74
21.5,224.23
21.6,226.6
21.7,229.21
21.8,231.7
21.9,234.07
22,235.69
22.1,235.81
22.2,236.02
22.3,230.71
22.4,225.06
22.5,221.75
22.6,217.76
22.7,213.78
22.8,209.8
22.9,204.82
23,199.84
23.1,195.36
23.2,190.21
23.3,185.4
23.4,181.25
23.5,175.94
23.6,170.96
23.7,167.22
23.8,162.66
23.9,156.85
24,153.03
24.1,149.05
24.2,145.07
24.3,141.08
24.4,137.1
24.5,133.12
24.6,129.13
24.7,124.15
24.8,120.67
24.9,116.69
25,112.7
25.1,107.72
25.2,102.58
25.3,98.26
25.4,93.66
